Contract Name,Last Trade Date,Strike,Last Price,BidAsk,Change,Change%,Volume,Open Interest,Implied Volatility
SPX211217C00900000,2020-12-09 10:30AM EDT,900.00,2755.29,2857.80,2884.20,0.00,-,1,1807,0.00%
SPX211217C01000000,2021-03-15 2:54PM EDT,1000.00,2884.63,0.00,0.00,-55.16,-1.88%,2,16957,0.00%
SPX211217C01225000,2021-02-04 11:15AM EDT,1225.00,2585.33,0.00,0.00,0.00,-,1,11,0.00%
SPX211217C01300000,2020-08-20 2:32PM EDT,1300.00,2039.26,0.00,0.00,0.00,-,1,21,0.00%
SPX211217C01375000,2020-11-12 12:13PM EDT,1375.00,2143.78,0.00,0.00,0.00,-,15,6,0.00%
SPX211217C01400000,2021-03-11 1:03PM EDT,1400.00,2489.80,0.00,0.00,0.00,-,11,18,0.00%
SPX211217C01500000,2020-12-14 4:56PM EDT,1500.00,2111.19,0.00,0.00,0.00,-,1,88,0.00%
SPX211217C01525000,2020-07-09 4:56PM EDT,1525.00,1425.66,0.00,0.00,0.00,-,3,9,0.00%
SPX211217C01550000,2020-07-09 4:56PM EDT,1550.00,1201.50,0.00,0.00,0.00,-,0,9,0.00%
SPX211217C01600000,2020-07-28 11:46AM EDT,1600.00,1600.80,0.00,0.00,0.00,-,2,60,0.00%
SPX211217C01625000,2020-07-09 4:56PM EDT,1625.00,1375.00,1676.00,1681.60,0.00,-,20,31,0.00%
SPX211217C01650000,2019-06-10 12:13AM EDT,1650.00,1054.50,1272.50,1279.50,0.00,-,0,3,0.00%
SPX211217C01800000,2020-07-09 4:56PM EDT,1800.00,1243.10,1513.70,1518.50,0.00,-,1,30,0.00%
SPX211217C01825000,2020-09-22 2:04PM EDT,1825.00,1466.00,1591.90,1609.30,0.00,-,10,26,0.00%
SPX211217C01900000,2020-07-21 8:02AM EDT,1900.00,1361.40,1465.90,1469.80,0.00,-,1,23,0.00%
SPX211217C02000000,2021-03-19 12:45PM EDT,2000.00,1902.72,0.00,0.00,-30.89,-1.60%,1,15691,0.00%
SPX211217C02175000,2021-01-27 12:48PM EDT,2175.00,1601.88,0.00,0.00,0.00,-,5,16,0.00%
SPX211217C02200000,2021-02-09 2:28PM EDT,2200.00,1699.05,0.00,0.00,0.00,-,1,1184,0.00%
SPX211217C02250000,2020-11-11 4:24PM EDT,2250.00,1311.30,0.00,0.00,0.00,-,150,206,0.00%
SPX211217C02300000,2021-03-18 6:08AM EDT,2300.00,1643.91,0.00,0.00,0.00,-,179,1644,0.00%
SPX211217C02350000,2020-07-01 5:23AM EDT,2350.00,834.00,0.00,0.00,0.00,-,1,2236,0.00%
SPX211217C02400000,2020-12-30 4:12PM EDT,2400.00,1335.30,1323.20,1338.20,0.00,-,85,2143,0.00%
SPX211217C02425000,2020-06-30 2:33PM EDT,2425.00,760.89,0.00,0.00,0.00,-,70,378,0.00%
SPX211217C02475000,2020-08-28 12:35PM EDT,2475.00,1074.55,956.90,971.00,0.00,-,1,35,0.00%
SPX211217C02500000,2021-03-16 11:28AM EDT,2500.00,1411.52,0.00,0.00,-63.31,-4.29%,1,4642,0.00%
SPX211217C02525000,2021-01-28 11:04AM EDT,2525.00,1294.89,0.00,0.00,0.00,-,15,35,0.00%
SPX211217C02550000,2021-03-05 4:02PM EDT,2550.00,1302.67,0.00,0.00,0.00,-,10,9369,0.00%
SPX211217C02575000,2021-03-05 4:02PM EDT,2575.00,1279.82,0.00,0.00,0.00,-,10,1836,0.00%
SPX211217C02600000,2021-02-16 11:04AM EDT,2600.00,1361.80,1361.90,1369.80,0.00,-,38,4940,38.66%
SPX211217C02625000,2021-01-28 12:04PM EDT,2625.00,1224.89,0.00,0.00,0.00,-,1,390,0.00%
SPX211217C02650000,2020-08-26 3:52PM EDT,2650.00,909.50,0.00,0.00,0.00,-,1,1922,0.00%
SPX211217C02675000,2020-06-25 11:41AM EDT,2675.00,564.90,644.00,692.00,0.00,-,1,799,0.00%
SPX211217C02700000,2021-03-15 10:06AM EDT,2700.00,1258.22,0.00,0.00,0.00,-,300,4548,0.00%
SPX211217C02725000,2021-01-28 12:04PM EDT,2725.00,1137.59,0.00,0.00,0.00,-,1,2254,0.00%
SPX211217C02750000,2021-03-02 11:02AM EDT,2750.00,1171.29,0.00,0.00,0.00,-,550,3383,0.00%
SPX211217C02775000,2020-07-09 4:56PM EDT,2775.00,371.06,687.80,692.90,0.00,-,204,675,0.00%
SPX211217C02800000,2021-03-03 11:43AM EDT,2800.00,1167.22,0.00,0.00,0.00,-,300,20874,0.00%
SPX211217C02825000,2021-02-11 1:19PM EDT,2825.00,1133.07,0.00,0.00,0.00,-,50,3264,0.00%
SPX211217C02850000,2021-02-10 11:05AM EDT,2850.00,1117.96,1102.20,1110.30,0.00,-,37,6408,30.15%
SPX211217C02900000,2021-03-05 10:41AM EDT,2900.00,947.40,0.00,0.00,0.00,-,271,10240,0.00%
SPX211217C02925000,2021-03-02 11:02AM EDT,2925.00,1016.99,0.00,0.00,0.00,-,1,1390,0.00%
SPX211217C02950000,2021-03-04 2:56PM EDT,2950.00,865.29,0.00,0.00,0.00,-,1,6564,0.00%
SPX211217C03000000,2021-03-16 3:32PM EDT,3000.00,1007.90,0.00,0.00,0.00,-,132,17037,0.00%
SPX211217C03100000,2021-03-19 10:36AM EDT,3100.00,858.09,0.00,0.00,-22.22,-2.52%,8,6794,0.00%
SPX211217C03200000,2021-03-02 11:02AM EDT,3200.00,795.12,0.00,0.00,+43.12,+5.73%,1,7170,0.00%
SPX211217C03300000,2021-03-17 3:36PM EDT,3300.00,715.00,0.00,0.00,0.00,-,71,8100,0.00%
SPX211217C03400000,2021-03-02 11:02AM EDT,3400.00,652.50,0.00,0.00,0.00,-,18,9587,0.00%
SPX211217C03500000,2021-03-05 2:56PM EDT,3500.00,575.00,0.00,0.00,0.00,-,4,9470,0.00%
SPX211217C03600000,2021-03-04 1:15PM EDT,3600.00,523.21,0.00,0.00,0.00,-,360,14074,0.00%
SPX211217C03900000,2021-03-19 4:10PM EDT,3900.00,265.15,0.00,0.00,-10.27,-3.73%,729,13155,0.00%
SPX211217C04000000,2021-03-19 4:10PM EDT,4000.00,206.80,0.00,0.00,-12.54,-5.72%,57,23378,0.39%